Datetime,Latitude,Longitude,T2M,QV2M,PS,WS10M,PRECTOT,CLRSKY_SFC_SW_DWN,hour,day,month,season,PRECTOTCORR,Predicted_T2M,Predicted_QV2M,Predicted_PS,Predicted_WS10M,Predicted_PRECTOT,Predicted_CLRSKY_SFC_SW_DWN
2024-07-25 23:00:00,8,102,30.63,19.75,2.28,100.69,0.0,10.88,23,25,7,3,0.0,0.4884038,0.5264443,0.71431696,0.5157702,0.49099764,0.002259352
2024-07-25 23:00:00,8,103,29.57,0.59,0.0,21.07,100.73,12.98,23,25,7,3,100.73,0.6843031,0.52018887,0.5297946,0.5024665,0.47982866,0.002172305
2024-07-25 23:00:00,8,104,29.51,21.01,100.74,1.39,0.0,13.26,23,25,7,3,0.0,0.5036822,0.51931155,0.7241035,0.5145274,0.49001476,0.002275165
2024-07-25 23:00:00,8,105,21.36,3.34,100.77,0.0,29.63,14.34,23,25,7,3,29.63,0.62104243,0.5434553,0.4999765,0.47851017,0.49578196,0.0021983676
2024-07-25 23:00:00,8,106,22.51,29.38,0.0,100.78,5.14,14.96,23,25,7,3,5.14,0.6779111,0.53284544,0.4951279,0.5040143,0.48840258,0.002150002
2024-07-25 23:00:00,8,107,22.9,29.29,0.0,100.79,5.76,17.05,23,25,7,3,5.76,0.6803539,0.5328408,0.495085,0.5039343,0.48820978,0.002150181
2024-07-25 23:00:00,8,108,23.5,6.46,0.0,100.74,29.48,11.62,23,25,7,3,29.48,0.68612623,0.5327357,0.49890473,0.5057024,0.48347914,0.0021610148
2024-07-25 23:00:00,8,109,23.39,6.84,0.0,100.71,29.6,10.34,23,25,7,3,29.6,0.6887138,0.5327522,0.49870592,0.5057547,0.48339203,0.002159554
2024-07-25 23:00:00,8,110,23.05,6.28,0.0,100.68,29.37,8.87,23,25,7,3,29.37,0.6915965,0.5327072,0.49855483,0.5056704,0.4836082,0.0021569892
2024-07-25 23:00:00,8,111,22.41,29.48,0.0,100.68,7.36,4.26,23,25,7,3,7.36,0.68935835,0.53294754,0.49493426,0.50364333,0.4867058,0.0021513405
2024-07-25 23:00:00,8,112,22.21,29.54,0.0,100.67,7.41,4.37,23,25,7,3,7.41,0.6917988,0.53296995,0.49462703,0.50361454,0.48618007,0.0021561675
2024-07-25 23:00:00,8,113,22.26,29.58,0.0,100.74,7.09,2.97,23,25,7,3,7.09,0.6418354,0.5327286,0.499697,0.5084488,0.4892011,0.002107317
2024-07-25 23:00:00,8,114,22.23,29.5,0.0,100.74,6.75,3.32,23,25,7,3,6.75,0.64619356,0.5328456,0.49941742,0.5084078,0.4893136,0.0021051085
2024-07-25 23:00:00,8,115,22.08,100.78,0.0,29.59,5.87,2.36,23,25,7,3,5.87,0.65499526,0.5261467,0.4956644,0.49987411,0.5084596,0.0021566276
2024-07-25 23:00:00,8,116,0.0,29.98,100.8,5.69,21.63,1.16,23,25,7,3,21.63,0.50058323,0.51237667,0.5174863,0.7663816,0.49281973,0.0023154581
2024-07-25 23:00:00,8,117,0.0,29.72,100.77,4.72,21.25,0.98,23,25,7,3,21.25,0.50113016,0.51237315,0.51627004,0.7667277,0.49232227,0.0023078183
2024-07-25 23:00:00,8,118,100.82,5.0,0.0,29.47,21.46,1.13,23,25,7,3,21.46,0.6789876,0.52836293,0.50748974,0.51837814,0.4938922,0.0020921903
2024-07-25 23:00:00,9,102,18.91,100.69,0.0,30.07,4.35,18.43,23,25,7,3,4.35,0.6677486,0.525696,0.4923353,0.4956562,0.5076179,0.0022076485
2024-07-25 23:00:00,9,103,20.81,100.72,0.0,29.79,3.04,17.08,23,25,7,3,3.04,0.67053974,0.5258639,0.4920369,0.49522203,0.5074791,0.0022111558
2024-07-25 23:00:00,9,104,0.0,100.73,29.63,20.91,3.04,13.18,23,25,7,3,3.04,0.48685768,0.51045483,0.492045,0.75381935,0.52717614,0.0023864133
2024-07-25 23:00:00,9,105,100.74,20.91,2.79,0.0,27.3,15.05,23,25,7,3,27.3,0.5393689,0.5361072,0.5403337,0.5023384,0.48911825,0.002056213
2024-07-25 23:00:00,9,106,21.31,100.74,5.37,0.0,28.88,11.31,23,25,7,3,28.88,0.54191303,0.5351822,0.5149693,0.48786214,0.51117,0.0021092629
2024-07-25 23:00:00,9,107,0.0,100.75,6.19,29.05,21.78,14.34,23,25,7,3,21.78,0.48752064,0.5088076,0.49098244,0.7528466,0.52549946,0.0023618166
2024-07-25 23:00:00,9,108,0.0,100.73,7.05,28.93,22.65,11.58,23,25,7,3,22.65,0.4875771,0.50884676,0.49034056,0.75238967,0.52535015,0.002362139
2024-07-25 23:00:00,9,109,100.69,22.43,29.27,8.36,0.0,4.92,23,25,7,3,0.0,0.48850703,0.50747496,0.71814746,0.54896986,0.48412648,0.002189237
2024-07-25 23:00:00,9,110,22.87,100.65,8.02,0.0,29.27,2.9,23,25,7,3,29.27,0.54120743,0.5376109,0.5128494,0.4882241,0.5101902,0.0021022873
2024-07-25 23:00:00,9,111,29.23,22.8,100.63,8.2,0.0,3.62,23,25,7,3,0.0,0.5024313,0.5206323,0.72149026,0.51567614,0.48958087,0.002264589
2024-07-25 23:00:00,9,112,29.32,22.58,100.63,8.69,0.0,3.14,23,25,7,3,0.0,0.5023404,0.5208561,0.72049284,0.51648337,0.4894429,0.0022622833
2024-07-25 23:00:00,9,113,22.23,8.71,0.0,29.58,100.7,2.57,23,25,7,3,100.7,0.6672281,0.5206425,0.531882,0.5023238,0.4806911,0.002135643
2024-07-25 23:00:00,9,114,0.0,8.19,29.53,22.17,100.72,2.53,23,25,7,3,100.72,0.49760303,0.5030313,0.53232324,0.75673693,0.4896333,0.0022302638
2024-07-25 23:00:00,9,115,7.15,100.74,22.38,0.0,29.09,3.12,23,25,7,3,29.09,0.5400822,0.53873074,0.50758874,0.48666418,0.51444626,0.0021102093
2024-07-25 23:00:00,9,116,100.77,22.2,29.25,6.69,0.0,2.2,23,25,7,3,0.0,0.4886276,0.50666606,0.711634,0.55029243,0.48404732,0.0022109759
2024-07-25 23:00:00,9,117,100.78,21.83,29.53,6.91,0.0,1.8,23,25,7,3,0.0,0.48848656,0.5067229,0.71464753,0.5494499,0.48378372,0.002203806
2024-07-25 23:00:00,9,118,99.67,20.8,27.92,4.46,0.0,3.08,23,25,7,3,0.0,0.48817307,0.50679225,0.71783286,0.5491241,0.48362812,0.0022024307
2024-07-25 23:00:00,10,102,100.69,29.93,6.42,0.0,18.94,36.05,23,25,7,3,18.94,0.54025817,0.5363147,0.53751993,0.50141585,0.4929257,0.0020626253
2024-07-25 23:00:00,10,103,29.38,4.91,0.0,20.94,100.69,32.6,23,25,7,3,100.69,0.6850864,0.5203827,0.5276218,0.504177,0.480803,0.0021664412
2024-07-25 23:00:00,10,104,20.36,5.21,0.0,28.99,100.68,27.64,23,25,7,3,100.68,0.6896833,0.5202583,0.5260463,0.50290704,0.48123857,0.0021756634
2024-07-25 23:00:00,10,105,20.67,0.0,26.96,3.38,100.68,23.48,23,25,7,3,100.68,0.4912425,0.5021787,0.52887326,0.49711213,0.6946646,0.0024214466
2024-07-25 23:00:00,10,106,100.71,26.09,3.3,0.0,20.23,7.82,23,25,7,3,20.23,0.5351206,0.5381928,0.5373434,0.50240874,0.48813683,0.0020686053
2024-07-25 23:00:00,10,107,100.72,27.91,5.79,0.0,20.94,4.62,23,25,7,3,20.94,0.53717136,0.5383444,0.5366271,0.50217116,0.48825014,0.002067389
2024-07-25 23:00:00,10,108,100.68,28.82,8.71,0.0,21.21,4.99,23,25,7,3,21.21,0.53842074,0.53852785,0.536048,0.50179297,0.48823908,0.0020692851
2024-07-25 23:00:00,10,109,0.0,9.35,28.63,21.42,100.65,7.13,23,25,7,3,100.65,0.49931294,0.50347704,0.5214311,0.75668633,0.4873543,0.0021945732
2024-07-25 23:00:00,10,110,0.0,9.75,28.54,22.09,100.61,7.59,23,25,7,3,100.61,0.49926403,0.5034917,0.519842,0.7544073,0.48728138,0.0021876295
2024-07-25 23:00:00,10,111,22.39,10.34,29.02,0.0,100.57,3.01,23,25,7,3,100.57,0.5613469,0.5368198,0.54098356,0.48982298,0.48784497,0.0020873926
2024-07-25 23:00:00,10,112,22.58,0.0,100.57,10.22,29.12,4.59,23,25,7,3,29.12,0.49714786,0.5292971,0.48521662,0.49996004,0.6922946,0.0026167275
2024-07-25 23:00:00,10,113,9.95,0.0,29.36,22.2,100.64,3.01,23,25,7,3,100.64,0.4917091,0.50530845,0.52773833,0.49453428,0.6936703,0.0024399243
2024-07-25 23:00:00,10,114,22.0,0.0,29.5,9.71,100.66,3.02,23,25,7,3,100.66,0.49098,0.50282764,0.52917117,0.49711093,0.6915917,0.0024274471
2024-07-25 23:00:00,10,115,0.0,9.05,29.25,22.07,100.69,4.91,23,25,7,3,100.69,0.497969,0.50303894,0.53189874,0.76021135,0.48923624,0.0022301585
2024-07-25 23:00:00,10,116,22.2,100.72,0.0,29.09,8.89,4.99,23,25,7,3,8.89,0.6588297,0.5261121,0.4956244,0.49958578,0.50914323,0.0021580982
2024-07-25 23:00:00,10,117,22.03,100.73,0.0,29.23,8.81,4.68,23,25,7,3,8.81,0.66270727,0.5263137,0.49533945,0.49893886,0.50907713,0.0021611694
2024-07-25 23:00:00,10,118,7.4,0.0,21.26,29.33,100.54,4.64,23,25,7,3,100.54,0.4916801,0.5065582,0.5268396,0.4939108,0.702021,0.002442615
2024-07-25 23:00:00,11,102,7.55,0.0,19.78,29.85,100.66,33.15,23,25,7,3,100.66,0.4916136,0.5057366,0.5270199,0.4942862,0.70120597,0.002441615
